datetime,Open,High,Low,Close,Volume
2023-05-22 09:57:00+07:00,16.1,16.1,15.9,15.9,114300.0
2023-05-22 09:58:00+07:00,15.9,16.0,15.9,15.9,5600.0
2023-05-22 09:59:00+07:00,15.9,15.9,15.9,15.9,2500.0
2023-05-22 10:00:00+07:00,15.9,15.9,15.9,15.9,14900.0
2023-05-22 10:01:00+07:00,15.9,15.9,15.9,15.9,44700.0
2023-05-22 10:02:00+07:00,15.9,15.9,15.8,15.8,19100.0
2023-05-22 10:03:00+07:00,15.8,15.8,15.8,15.8,8800.0
2023-05-22 10:04:00+07:00,15.8,15.9,15.8,15.9,900.0
2023-05-22 10:05:00+07:00,15.8,15.9,15.8,15.9,52500.0
2023-05-22 10:06:00+07:00,15.9,16.0,15.9,15.9,2900.0
2023-05-22 10:07:00+07:00,15.9,15.9,15.9,15.9,9300.0
2023-05-22 10:08:00+07:00,16.0,16.0,16.0,16.0,66600.0
2023-05-22 10:09:00+07:00,16.0,16.1,16.0,16.1,2000.0
2023-05-22 10:10:00+07:00,16.0,16.0,16.0,16.0,2900.0
2023-05-22 10:11:00+07:00,16.0,16.0,16.0,16.0,1900.0
2023-05-22 10:12:00+07:00,16.0,16.0,16.0,16.0,6800.0
2023-05-22 10:13:00+07:00,16.0,16.0,16.0,16.0,4000.0
2023-05-22 10:14:00+07:00,16.0,16.0,16.0,16.0,5400.0
2023-05-22 10:15:00+07:00,16.0,16.0,16.0,16.0,15500.0
2023-05-22 10:16:00+07:00,16.0,16.0,16.0,16.0,64500.0
2023-05-22 10:17:00+07:00,16.0,16.0,15.9,15.9,2100.0
2023-05-22 10:18:00+07:00,15.9,16.0,15.9,15.9,2400.0
2023-05-22 10:19:00+07:00,15.9,15.9,15.9,15.9,2300.0
2023-05-22 10:20:00+07:00,15.9,15.9,15.9,15.9,2800.0
2023-05-22 10:21:00+07:00,15.9,15.9,15.9,15.9,1000.0
2023-05-22 10:22:00+07:00,15.9,15.9,15.9,15.9,1600.0
2023-05-22 10:23:00+07:00,15.9,15.9,15.9,15.9,100.0
2023-05-22 10:24:00+07:00,15.9,15.9,15.9,15.9,5700.0
