datetime,Open,High,Low,Close,Volume
2021-09-01 09:45:00+07:00,33.0,33.25,33.0,33.0,537000.0
2021-09-01 10:00:00+07:00,33.0,33.25,32.75,33.0,1370200.0
2021-09-01 10:15:00+07:00,33.25,33.25,33.0,33.25,165400.0
2021-09-01 10:30:00+07:00,33.0,33.25,32.75,33.25,1005600.0
2021-09-01 10:45:00+07:00,33.0,33.25,33.0,33.0,79900.0
2021-09-01 11:00:00+07:00,33.0,33.25,32.75,32.75,704100.0
2021-09-01 11:15:00+07:00,32.75,32.75,32.75,32.75,76700.0
2021-09-01 11:30:00+07:00,32.75,33.0,32.75,33.0,59100.0
2021-09-01 11:45:00+07:00,32.75,33.0,32.75,32.75,1250200.0
2021-09-01 12:00:00+07:00,32.75,33.0,32.75,33.0,83600.0
2021-09-01 12:15:00+07:00,33.0,33.0,32.75,32.75,47200.0
2021-09-01 14:15:00+07:00,32.75,33.0,32.75,32.75,556800.0
2021-09-01 14:30:00+07:00,32.75,32.75,32.5,32.5,840000.0
2021-09-01 14:45:00+07:00,32.5,32.75,32.5,32.5,177100.0
2021-09-01 15:00:00+07:00,32.5,32.75,32.25,32.75,1350300.0
2021-09-01 15:15:00+07:00,32.5,32.75,32.5,32.5,180500.0
2021-09-01 15:30:00+07:00,32.5,32.75,32.5,32.5,570000.0
2021-09-01 15:45:00+07:00,32.5,33.0,32.5,32.75,1145200.0
2021-09-01 16:00:00+07:00,32.75,33.0,32.5,32.75,285700.0
2021-09-01 16:15:00+07:00,32.5,32.75,32.5,32.75,530400.0
2021-09-01 16:30:00+07:00,32.75,32.75,32.75,32.75,1163300.0
2021-09-02 09:45:00+07:00,32.75,33.0,32.75,33.0,211700.0
2021-09-02 10:00:00+07:00,33.0,33.0,32.5,32.75,860200.0
2021-09-02 10:15:00+07:00,32.75,32.75,32.5,32.5,280500.0
2021-09-02 10:30:00+07:00,32.75,32.75,32.5,32.5,117000.0
2021-09-02 10:45:00+07:00,32.75,32.75,32.5,32.75,124300.0
2021-09-02 11:00:00+07:00,32.75,32.75,32.5,32.5,123900.0
2021-09-02 11:15:00+07:00,32.5,32.75,32.5,32.75,101900.0
2021-09-02 11:30:00+07:00,32.75,32.75,32.5,32.75,100900.0
2021-09-02 11:45:00+07:00,32.75,32.75,32.5,32.75,80800.0
2021-09-02 12:00:00+07:00,32.5,32.75,32.5,32.75,49400.0
2021-09-02 12:15:00+07:00,32.75,32.75,32.5,32.75,111000.0
2021-09-02 14:15:00+07:00,32.5,32.75,32.5,32.75,257400.0
2021-09-02 14:30:00+07:00,32.75,32.75,32.5,32.5,1115600.0
2021-09-02 14:45:00+07:00,32.5,32.5,32.0,32.25,1729700.0
2021-09-02 15:00:00+07:00,32.25,32.5,31.75,31.75,8219400.0
2021-09-02 15:15:00+07:00,32.0,32.25,32.0,32.25,2020400.0
2021-09-02 15:30:00+07:00,32.25,32.5,32.0,32.25,1003400.0
2021-09-02 15:45:00+07:00,32.25,32.75,32.0,32.25,2047600.0
2021-09-02 16:00:00+07:00,32.5,32.5,32.25,32.25,1096300.0
2021-09-02 16:15:00+07:00,32.25,32.5,32.25,32.5,1146500.0
2021-09-02 16:30:00+07:00,32.5,32.5,32.5,32.5,1114400.0
2021-09-03 09:45:00+07:00,32.5,32.5,32.25,32.25,609600.0
2021-09-03 10:00:00+07:00,32.25,32.5,32.0,32.25,326000.0
2021-09-03 10:15:00+07:00,32.25,32.25,32.0,32.0,579000.0
2021-09-03 10:30:00+07:00,32.0,32.25,32.0,32.25,199700.0
2021-09-03 10:45:00+07:00,32.25,32.25,32.0,32.0,333300.0
2021-09-03 11:00:00+07:00,32.0,32.25,32.0,32.0,152800.0
2021-09-03 11:15:00+07:00,32.0,32.25,32.0,32.0,239700.0
2021-09-03 11:30:00+07:00,32.0,32.25,32.0,32.25,61800.0
